display_name,model_name,model_category,cond_mode,use_spade,mid_skips_only,checkpoint,noise_strength,cfg_weight,num_seg_runs,fid,deeplab_fd,ber,ber_std,lpips_mean,lpips_std,miou_mean,miou_std,delta_miou_vs_sim,miou_gap_closed,pixel_acc_mean,pixel_acc_std,miou_bareland,miou_std_bareland,delta_miou_vs_sim_bareland,miou_gap_closed_bareland,miou_rangeland,miou_std_rangeland,delta_miou_vs_sim_rangeland,miou_gap_closed_rangeland,miou_developed_space,miou_std_developed_space,delta_miou_vs_sim_developed_space,miou_gap_closed_developed_space,miou_road,miou_std_road,delta_miou_vs_sim_road,miou_gap_closed_road,miou_trees,miou_std_trees,delta_miou_vs_sim_trees,miou_gap_closed_trees,miou_water,miou_std_water,delta_miou_vs_sim_water,miou_gap_closed_water,miou_agriculture_land,miou_std_agriculture_land,delta_miou_vs_sim_agriculture_land,miou_gap_closed_agriculture_land,miou_buildings,miou_std_buildings,delta_miou_vs_sim_buildings,miou_gap_closed_buildings
RGB,oem_only,cyclenet_sim,rgb,false,false,20000,0.3,2.0,3,108.24432373046875,31.238804827741667,0.7499372516770192,0.1328156680174626,0.10320255905389786,0.02239682339131832,0.20721320311228433,0.005447171708862083,0.01974375049273172,0.04773049645219745,0.40302695830663043,0.0010274622842741344,0.043032110979159675,0.019535406568213533,-0.032880581294496856,-0.15662454172514015,0.1699273039897283,0.04777717567990861,-0.05638673404852548,-0.18982430345912796,0.2252074877421061,0.05043966643822643,0.04337044060230255,0.1253646978759084,0.14408786594867706,0.007725927656072704,-0.007966401676336915,-0.01762588168710499,0.3888953725496928,0.02210890948972739,0.20587173600991568,0.4250285922343503,0.18089626232783,0.027420565615466835,0.035550497472286224,0.060086197846808825,0.16495162745316824,0.062189160059654,-0.04199308156967163,-0.08770550495691916,0.3407076299190521,0.05283806749772806,0.012384176254272461,0.027552645895593274
RGB + SPADE,oem_only_rgb_only_spade,cyclenet_sim,rgb,true,false,30000,0.3,5.0,3,116.99439239501953,30.16374701393735,0.7520965133982916,0.14125860721661906,0.06361924111843109,0.01879056915640831,0.21262780328591666,0.001541204370913845,0.025158350666364043,0.06082028678725894,0.4032648305098216,0.009066318669493182,0.0393893818060557,0.0013375509537160105,-0.03652331046760083,-0.17397644868372236,0.17836362620194754,0.04160257567599911,-0.047950411836306245,-0.16142366960945098,0.17744635045528412,0.025419989626162126,-0.004390696684519441,-0.012691555715721952,0.18846405545870462,0.05863400927313704,0.03640978783369064,0.08055765183363382,0.38727837800979614,0.03478292471209592,0.204254741470019,0.421690256791792,0.152643620967865,0.042543517465985954,0.007297856112321227,0.012334579187374638,0.18814689417680105,0.035894767535016595,-0.01879781484603882,-0.03926055868091412,0.38929014404614765,0.0264508962559585,0.06096669038136798,0.13564032011613097
RGB + SPADE (BN Only),oem_only_rgb_only_spade_mid_skips,cyclenet_sim,rgb,true,true,40000,0.4,2.0,3,99.13841247558594,20.75089709255833,0.7399748098916318,0.13823256027063266,0.10762401670217514,0.043476615101099014,0.23232243955135345,0.009094716951377119,0.04485298693180084,0.10843204964562803,0.4171340266863505,0.007245496218934808,0.04776646941900253,0.008167350739343012,-0.028146222854654,-0.13407272871546436,0.2028258740901947,0.015803681176753508,-0.023488163948059082,-0.07907222214957685,0.1816497395435969,0.020671425784785518,-0.00018730759620666504,-0.0005414231417115129,0.197637677192688,0.009991557654932943,0.04558340956767401,0.1008545409304682,0.4024274945259094,0.01224986477573614,0.2194038579861323,0.4529660782874035,0.16730406880378723,0.032576911564155285,0.02195830394824347,0.0371131514106959,0.2595745921134949,0.03147555966115281,0.052629883090655,0.10992121320344465,0.39939356843630475,0.022458498987546757,0.07107011477152508,0.15811868838538595
Seg,oem_only_seg_only,cyclenet_sim,seg,false,false,40000,0.5,1.0,3,88.24964141845703,19.93241313592508,0.6977052211842165,0.13053580532282524,0.3409215211868286,0.06258071959018707,0.26173481345176697,0.005521955043384343,0.07426536083221436,0.17953643321354226,0.4527084132035573,0.0060438419954146096,0.04358601321776708,0.005860777469268194,-0.03232667905588945,-0.1539860639103658,0.128553735713164,0.036942195605770244,-0.09776030232508978,-0.32910722012812177,0.168121799826622,0.03487444533575051,-0.01371524731318155,-0.03964469375529207,0.371977965037028,0.012044002778070084,0.21992369741201404,0.48658719811844187,0.4557510316371918,0.02586540633240229,0.2727273950974146,0.5630541765889249,0.17590051392714182,0.01955800398458903,0.030554749071598053,0.051642559975619166,0.26368991533915204,0.0076527397410949705,0.05674520631631216,0.11851635526198498,0.4862975875536601,0.022733366882727524,0.15797413388888043,0.3514650698064591
Seg + SPADE,oem_only_seg_only_spade,cyclenet_sim,seg,true,false,50000,0.3,2.0,3,120.87519073486328,22.344316127747206,0.676660133559559,0.1378957685404995,0.29680874943733215,0.059097930788993835,0.2254723608493805,0.005168907886226357,0.03800290822982788,0.09187199144887574,0.3981247544288635,0.013438491650562486,0.0811252382894357,0.027561420958959165,0.005212546015779168,0.024829628881264894,0.16313911974430084,0.010636888450130368,-0.06317491829395294,-0.21267652868344364,0.17281798273324966,0.055841278813364044,-0.009019064406553895,-0.026070112932884533,0.26159130533536273,0.008883264593842598,0.10953703771034876,0.24235369310756713,0.3479875127474467,0.027067408833843013,0.16496387620766959,0.3405730452998678,0.1603901485602061,0.01700698783661078,0.015044383704662323,0.02542748709680754,0.21317057808240256,0.010675065692069285,0.006225869059562683,0.013003165503790255,0.40355706214904785,0.010505988662274698,0.07523360848426819,0.16738174033170847
sim,sim,sim,,,,,,,3,130.07418823242188,51.48552031361946,0.7471381314971257,0.13300543906899726,,,0.1874694526195526,0.016041490139138474,0.0,0.0,0.3546043932437897,0.023073637745894562,0.07591269227365653,0.050658073783891304,0.0,0.0,0.22631403803825378,0.026091402771129677,0.0,0.0,0.18183704713980356,0.055101072744576325,0.0,0.0,0.15205426762501398,0.07280074552785676,0.0,0.0,0.18302363653977713,0.038862470533282505,0.0,0.0,0.14534576485554376,0.029371633186493377,0.0,0.0,0.20694470902283987,0.020989644507023,0.0,0.0,0.32832345366477966,0.09502636977332629,0.0,0.0
real,real,real,,,,,,,3,,,0.7262536126543806,0.13804657281161556,,,0.6011200944582621,0.00940408967354352,0.4136506418387095,1.0,0.7632331053415934,0.005012981739714194,0.28584519028663635,0.019716163862849592,0.2099324980129798,1.0,0.5233610073725382,0.01252939321545039,0.2970469693342844,1.0,0.5277912219365438,0.005643780982852028,0.3459541747967403,1.0,0.6040260791778564,0.005250248082981162,0.4519718115528425,1.0,0.6673951347668966,0.0055191203552277385,0.48437149822711945,1.0,0.7370040615399679,0.01939420293007462,0.5916582966844242,1.0,0.685741126537323,0.02489007018587444,0.4787964175144831,1.0,0.7777966658274332,0.0035894231349553173,0.44947321216265357,1.0
