checkpoint_name,train_split,step,n_settings_before_filter,n_settings,max_lpips,max_noise_strength,pareto_deeplab_lpips_count,pareto_fid_lpips_count,pareto_fid_deeplab_count,pareto_3d_count,selection_mode,best_fid,best_fid_gamma,best_fid_cfg_weight,best_fid_lpips,best_fid_deeplab_fd,best_deeplab_fd,best_deeplab_gamma,best_deeplab_cfg_weight,best_deeplab_lpips,best_deeplab_fid,best_lpips,best_lpips_gamma,best_lpips_cfg_weight,best_lpips_fid,best_lpips_deeplab_fd,selected_gamma,selected_cfg_weight,selected_fid,selected_lpips,selected_deeplab_fd
5k,OEM only seg only,5000,25,7,0.2,,5,6,1,6,fid_deeplab_pareto_then_lpips,106.82746124267578,0.2,2.0,0.1936891824007034,20.593656810315764,20.593656810315764,0.2,2.0,0.1936891824007034,106.82746124267578,0.0570562295615673,0.1,1.0,134.1272430419922,42.03440181741507,0.2,2.0,106.82746124267578,0.1936891824007034,20.593656810315764
10k,OEM only seg only,10000,25,7,0.2,,5,6,1,6,fid_deeplab_pareto_then_lpips,110.8506851196289,0.2,2.0,0.1938788741827011,21.0424332477067,21.0424332477067,0.2,2.0,0.1938788741827011,110.8506851196289,0.0573063306510448,0.1,1.0,136.25912475585938,42.11959918741076,0.2,2.0,110.8506851196289,0.1938788741827011,21.0424332477067
20k,OEM only seg only,20000,25,7,0.2,,5,6,1,7,fid_deeplab_pareto_then_lpips,117.6579132080078,0.2,2.0,0.1913191378116607,21.4808296487361,21.4808296487361,0.2,2.0,0.1913191378116607,117.6579132080078,0.0570863485336303,0.1,1.0,138.75584411621094,42.53412485579992,0.2,2.0,117.6579132080078,0.1913191378116607,21.4808296487361
30k,OEM only seg only,30000,25,8,0.2,,5,6,2,8,fid_deeplab_pareto_then_lpips,113.88330078125,0.3,1.0,0.1971597224473953,28.39470131084318,21.84809301302159,0.2,2.0,0.1893659085035324,121.61520385742188,0.0573645308613777,0.1,1.0,139.48257446289062,42.5499348220627,0.2,2.0,121.61520385742188,0.1893659085035324,21.84809301302159
40k,OEM only seg only,40000,25,8,0.2,,5,5,2,8,fid_deeplab_pareto_then_lpips,117.45053100585938,0.3,1.0,0.1968502253293991,29.019400663637,22.412013356900548,0.2,2.0,0.1908927857875824,128.13938903808594,0.0577438659965992,0.1,1.0,141.7848358154297,42.650805893405305,0.2,2.0,128.13938903808594,0.1908927857875824,22.412013356900548
50k,OEM only seg only,50000,25,8,0.2,,5,5,2,8,fid_deeplab_pareto_then_lpips,121.70404052734376,0.3,1.0,0.1986258625984192,29.60227271712436,22.452883138368943,0.2,2.0,0.1921675056219101,133.6079559326172,0.0585358962416648,0.1,1.0,142.8338165283203,42.72410164891802,0.2,2.0,133.6079559326172,0.1921675056219101,22.452883138368943
